# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A1BG	A1BG	NM_130786.4	protein_coding	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5
A1BG-AS1	A1BG-AS1	NR_015380.2		0	0	0	9	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
A2M	A2M	NM_000014.5	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2M	A2M	NM_001347423.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2M	A2M	NM_001347424.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2M	A2M	NM_001347425.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2ML1	A2ML1	NM_001282424.2	protein_coding	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0
A2ML1	A2ML1	NM_144670.6	protein_coding	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0
A3GALT2	A3GALT2	NM_001080438.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
A4GALT	A4GALT	NM_001318038.2	protein_coding	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0
A4GALT	A4GALT	NM_017436.7	protein_coding	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0
A4GNT	A4GNT	NM_016161.3	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AAAS	AAAS	NM_001173466.2	protein_coding	0	4	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
AAAS	AAAS	NM_015665.6	protein_coding	0	4	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
AACS	AACS	NM_001319839.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AACS	AACS	NM_001319840.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AACS	AACS	NM_023928.5	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AADACL2	AADACL2	NM_207365.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AADACL3	AADACL3	NM_001103170.3	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
AADACL3	AADACL3	NR_111984.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AAGAB	AAGAB	NM_001271885.1	protein_coding	0	0	4	10	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0
AAGAB	AAGAB	NM_001271886.1	protein_coding	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10
AAGAB	AAGAB	NM_024666.5	protein_coding	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10
AAK1	AAK1	NM_001371575.1	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AAK1	AAK1	NM_001371577.1	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AAK1	AAK1	NM_014911.4	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AANAT	AANAT	NM_001088.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AANAT	AANAT	NM_001166579.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AANAT	AANAT	NR_110548.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AARS1	AARS1	NM_001605.2	protein_coding	0	11	13	1	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	11	0
AARS2	AARS2	NM_020745.4	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AARSD1	AARSD1	NM_001261434.2	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
AASDH	AASDH	NM_001286668.2	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001286669.1	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001286670.2	protein_coding	0	10	5	5	0	5	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0
AASDH	AASDH	NM_001286671.1	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001286672.1	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001323890.2	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001323892.2	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001323893.2	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASDH	AASDH	NM_001323899.2	protein_coding	0	10	5	5	0	5	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0
AASDH	AASDH	NM_181806.4	protein_coding	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0
AASS	AASS	NM_005763.4	protein_coding	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
